time,time_sim,age_sim,hour_sim,arm_selected,reward
2024-01-20 23:10:35,2024-01-21 09:00:11,27,9,option3,1
2024-01-20 23:10:36,2024-01-22 03:00:36,104,3,option3,1
2024-01-20 23:10:36,2024-01-22 02:00:45,94,2,option2,0
2024-01-20 23:10:37,2024-01-21 01:00:19,17,1,option3,0
2024-01-20 23:10:37,2024-01-22 09:00:31,80,9,option2,0
2024-01-20 23:10:38,2024-01-21 21:00:29,35,21,option3,1
2024-01-20 23:10:39,2024-01-21 17:00:29,76,17,option3,1
2024-01-20 23:10:39,2024-01-22 07:00:27,104,7,option1,0
2024-01-20 23:10:40,2024-01-22 02:00:49,56,2,option3,1
2024-01-20 23:10:41,2024-01-22 19:00:56,109,19,option3,1
2024-01-20 23:10:41,2024-01-22 06:00:49,98,6,option1,0
2024-01-20 23:10:42,2024-01-21 16:00:55,93,16,option1,0
2024-01-20 23:10:42,2024-01-21 21:00:55,107,21,option2,0
2024-01-20 23:10:43,2024-01-21 22:00:12,56,22,option2,0
2024-01-20 23:10:44,2024-01-21 21:00:52,91,21,option3,1
2024-01-20 23:10:44,2024-01-21 21:00:55,111,21,option3,1
2024-01-20 23:10:45,2024-01-22 07:00:19,54,7,option3,1
2024-01-20 23:10:45,2024-01-22 01:00:19,28,1,option3,1
2024-01-20 23:10:46,2024-01-21 15:00:43,109,15,option3,0
2024-01-20 23:10:46,2024-01-21 04:00:27,113,4,option2,0
2024-01-20 23:10:47,2024-01-22 05:00:41,69,5,option3,1
2024-01-20 23:10:48,2024-01-21 09:00:32,92,9,option2,0
2024-01-20 23:10:48,2024-01-22 02:00:19,80,2,option3,1
2024-01-20 23:10:49,2024-01-22 05:00:25,61,5,option3,1
2024-01-20 23:10:49,2024-01-21 17:00:39,57,17,option3,1
2024-01-20 23:10:50,2024-01-21 20:00:42,78,20,option2,1
2024-01-20 23:10:50,2024-01-22 00:00:32,8,0,option1,0
2024-01-20 23:10:51,2024-01-21 07:00:04,30,7,option3,1
2024-01-20 23:10:51,2024-01-21 11:00:21,94,11,option1,0
2024-01-20 23:10:52,2024-01-22 02:00:04,34,2,option3,1
2024-01-20 23:10:53,2024-01-21 10:00:48,14,10,option2,0
2024-01-20 23:10:53,2024-01-21 16:00:22,108,16,option1,0
2024-01-20 23:10:54,2024-01-21 21:00:57,105,21,option2,0
2024-01-20 23:10:54,2024-01-21 16:00:06,54,16,option3,1
2024-01-20 23:10:55,2024-01-21 17:00:24,74,17,option3,1
2024-01-20 23:10:55,2024-01-22 03:00:43,40,3,option3,1
2024-01-20 23:10:56,2024-01-21 23:00:18,115,23,option1,0
2024-01-20 23:10:57,2024-01-22 12:00:17,115,12,option3,1
2024-01-20 23:10:57,2024-01-22 08:00:25,47,8,option3,0
2024-01-20 23:10:58,2024-01-22 15:00:21,47,15,option3,0
2024-01-20 23:10:58,2024-01-21 14:00:15,96,14,option3,1
2024-01-20 23:10:59,2024-01-22 10:00:11,53,10,option2,0
2024-01-20 23:11:00,2024-01-22 18:00:17,66,18,option3,1
2024-01-20 23:11:00,2024-01-21 21:00:49,43,21,option3,0
2024-01-20 23:11:01,2024-01-22 10:00:43,5,10,option2,0
2024-01-20 23:11:01,2024-01-22 07:00:24,29,7,option3,1
2024-01-20 23:11:02,2024-01-21 16:00:08,53,16,option3,1
2024-01-20 23:11:02,2024-01-21 18:00:33,74,18,option1,0
2024-01-20 23:11:03,2024-01-21 15:00:37,55,15,option1,0
2024-01-20 23:11:03,2024-01-22 00:00:11,33,0,option3,0
2024-01-20 23:11:04,2024-01-21 20:00:11,58,20,option1,0
2024-01-20 23:11:05,2024-01-21 17:00:30,74,17,option3,0
2024-01-20 23:11:05,2024-01-21 12:00:02,83,12,option3,1
2024-01-20 23:11:06,2024-01-22 06:00:48,12,6,option2,0
2024-01-20 23:11:07,2024-01-21 18:00:35,114,18,option1,0
2024-01-20 23:11:07,2024-01-22 07:00:52,104,7,option3,0
2024-01-20 23:11:08,2024-01-21 19:00:32,18,19,option2,0
2024-01-20 23:11:08,2024-01-22 17:00:02,81,17,option3,1
2024-01-20 23:11:09,2024-01-21 15:00:18,113,15,option3,1
2024-01-20 23:11:09,2024-01-22 02:00:33,95,2,option3,1
2024-01-20 23:11:10,2024-01-22 12:00:41,4,12,option2,0
2024-01-20 23:11:10,2024-01-21 19:00:57,108,19,option1,0
2024-01-20 23:11:11,2024-01-22 03:00:30,26,3,option3,1
2024-01-20 23:11:11,2024-01-22 01:00:57,28,1,option3,0
2024-01-20 23:11:12,2024-01-22 17:00:57,118,17,option3,1
2024-01-20 23:11:13,2024-01-21 23:00:07,101,23,option1,0
2024-01-20 23:11:13,2024-01-21 23:00:25,21,23,option1,1
2024-01-20 23:11:14,2024-01-22 07:00:32,49,7,option3,1
2024-01-20 23:11:15,2024-01-22 06:00:31,97,6,option3,1
2024-01-20 23:11:15,2024-01-22 12:00:24,75,12,option3,1
2024-01-20 23:11:16,2024-01-22 02:00:06,64,2,option3,1
2024-01-20 23:11:16,2024-01-22 07:00:56,72,7,option3,1
2024-01-20 23:11:17,2024-01-21 10:00:19,62,10,option2,0
2024-01-20 23:11:17,2024-01-22 09:00:40,118,9,option2,0
2024-01-20 23:11:18,2024-01-21 04:00:42,96,4,option3,1
2024-01-20 23:11:19,2024-01-21 13:00:39,67,13,option3,1
2024-01-20 23:11:19,2024-01-21 15:00:27,27,15,option1,0
2024-01-20 23:11:20,2024-01-22 15:00:17,85,15,option2,0
2024-01-20 23:11:20,2024-01-21 20:00:42,17,20,option2,0
2024-01-20 23:11:21,2024-01-21 22:00:49,93,22,option1,0
2024-01-20 23:11:21,2024-01-21 22:00:25,78,22,option3,1
2024-01-20 23:11:22,2024-01-21 13:00:45,83,13,option3,0
